Location,Boolean,Year,BloomDate
Takayama,False,1955,1955-04-10
Matsumoto,False,1955,1955-04-08
Maebashi,True,1955,1955-03-29
Kumagaya,True,1955,1955-03-30
Mito,True,1955,1955-03-29
Tsuruga,False,1955,1955-03-28
Gifu,True,1955,1955-03-27
Nagoya,True,1955,1955-03-29
Iida,False,1955,1955-04-04
Kofu,True,1955,1955-03-29
Choshi,True,1955,1955-03-25
Tsu,True,1955,1955-03-31
Hamamatsu,False,1955,1955-03-27
Shizuoka,True,1955,1955-03-26
Tokyo Japan,True,1955,1955-03-24
Owashi,False,1955,1955-03-21
Yokohama,True,1955,1955-03-24
Tateyama,False,1955,
Oshima,False,1955,
Miyakejima,False,1955,
Hachijojima,False,1955,1955-03-21
Saigo,False,1955,1955-03-31
Matsue,True,1955,1955-03-29
Yonago,False,1955,1955-03-27
Tottori,True,1955,1955-03-29
Toyooka,False,1955,1955-04-01
Maizuru,False,1955,1955-03-29
Hamada,False,1955,1955-03-22
Kyoto,True,1955,1955-03-28
Hikone,True,1955,1955-03-31
Hiroshima,True,1955,1955-03-24
Okayama,True,1955,1955-03-25
Kobe,True,1955,1955-03-30
Osaka,True,1955,1955-03-28
Sumoto,False,1955,1955-03-30
Wakayama,True,1955,1955-03-30
Shio Misaki,False,1955,
Nara,True,1955,1955-03-27
Matsuyama,True,1955,1955-03-28
Takamatsu,True,1955,1955-03-30
Uwajima,False,1955,
Kochi,True,1955,1955-03-21
Tokushima,True,1955,1955-03-25
Shimonoseki,True,1955,1955-03-24
Mikihara,False,1955,1955-03-26
Fukuoka,True,1955,1955-03-24
Saga,True,1955,1955-03-24
Oita,True,1955,1955-03-25
Fukue,False,1955,1955-03-23
Nagasaki,True,1955,1955-03-24
Kumamoto,True,1955,1955-03-21
Nobeoka,False,1955,
Kagoshima,True,1955,1955-03-29
Miyazaki,True,1955,
Yakushima,False,1955,
Tanegashima,False,1955,1955-03-10
Naze,True,1955,1955-01-27
Yonaguni Island,False,1955,
Ishigaki Island,True,1955,1955-01-08
Miyakojima,True,1955,
Kumejima,False,1955,
Naha,True,1955,
Nago,False,1955,
Iriomote Island,False,1955,1955-01-07
Minami Daito Island,True,1955,
Wakkanai,True,1956,1956-05-12
Rumoi,False,1956,1956-05-08
Asahikawa,True,1956,1956-05-07
Abashiri,True,1956,1956-05-09
Sapporo,True,1956,1956-05-04
Iwamizawa,False,1956,1956-05-05
Obihiro,True,1956,1956-05-05
Kushiro,True,1956,
Nemuro,False,1956,
Muroran,True,1956,1956-05-08
Urakawa,False,1956,1956-05-07
Esashi,False,1956,1956-05-03
Hakodate,True,1956,1956-05-03
Kutchan,False,1956,1956-05-13
Monbetsu,False,1956,1956-05-05
Hiroo,False,1956,
Shinjo,False,1956,
Aomori,True,1956,1956-04-26
Hachinohe,False,1956,1956-04-24
Akita,True,1956,1956-04-21
Morioka,True,1956,1956-04-24
Miyako,False,1956,1956-04-18
Sakata,False,1956,1956-04-17
Yamagata,True,1956,1956-04-18
Sendai,True,1956,1956-04-16
Fukushima,True,1956,1956-04-14
Shirakawa,False,1956,1956-04-16
Onahama,False,1956,1956-04-12
Wajima,False,1956,1956-04-13
Aikawa,False,1956,1956-04-14
Niigata,True,1956,1956-04-15
Kanazawa,True,1956,1956-04-10
Toyama,True,1956,1956-04-13
Nagano,True,1956,1956-04-14
Takada,False,1956,1956-04-13
Utsunomiya,True,1956,1956-04-10
Fukui,True,1956,1956-04-09
Takayama,False,1956,1956-04-19
Matsumoto,False,1956,1956-04-15
Maebashi,True,1956,1956-04-06
Kumagaya,True,1956,1956-04-04
Mito,True,1956,1956-04-09
Tsuruga,False,1956,1956-04-04
Gifu,True,1956,1956-03-31
Nagoya,True,1956,1956-03-29
Iida,False,1956,1956-04-06
Kofu,True,1956,1956-03-29
Choshi,True,1956,1956-03-29
Tsu,True,1956,1956-04-03
Hamamatsu,False,1956,1956-04-05
Shizuoka,True,1956,1956-03-28
Tokyo Japan,True,1956,1956-03-26
Owashi,False,1956,1956-03-28
Yokohama,True,1956,1956-03-28
Tateyama,False,1956,
Oshima,False,1956,1956-03-20
Miyakejima,False,1956,
Hachijojima,False,1956,1956-03-28
Saigo,False,1956,1956-04-06
Matsue,True,1956,1956-04-05
Yonago,False,1956,1956-04-07
Tottori,True,1956,1956-04-03
Toyooka,False,1956,1956-04-05
Maizuru,False,1956,1956-03-31
Hamada,False,1956,1956-04-02
Kyoto,True,1956,1956-04-01
Hikone,True,1956,1956-04-05
Hiroshima,True,1956,1956-04-02
Okayama,True,1956,1956-03-29
Kobe,True,1956,1956-03-30
Osaka,True,1956,1956-03-30
Sumoto,False,1956,1956-03-29
Wakayama,True,1956,1956-03-27
Shio Misaki,False,1956,
Nara,True,1956,1956-04-02
Matsuyama,True,1956,1956-03-28
Takamatsu,True,1956,1956-04-01
Uwajima,False,1956,
Kochi,True,1956,1956-03-24
Tokushima,True,1956,1956-03-27
Shimonoseki,True,1956,1956-04-04
Mikihara,False,1956,1956-04-06
Fukuoka,True,1956,1956-04-02
Saga,True,1956,1956-03-29
Oita,True,1956,1956-03-31
Fukue,False,1956,1956-03-30
Nagasaki,True,1956,1956-03-28
Kumamoto,True,1956,1956-03-25
Nobeoka,False,1956,
Kagoshima,True,1956,1956-03-27
Miyazaki,True,1956,
Yakushima,False,1956,
Tanegashima,False,1956,1956-03-28
Naze,True,1956,1956-01-15
Yonaguni Island,False,1956,
Ishigaki Island,True,1956,1956-01-05
Miyakojima,True,1956,
Kumejima,False,1956,
Naha,True,1956,
Nago,False,1956,
Iriomote Island,False,1956,
Minami Daito Island,True,1956,
Wakkanai,True,1957,1957-05-18
Rumoi,False,1957,1957-05-10
Asahikawa,True,1957,1957-05-09
Abashiri,True,1957,
Sapporo,True,1957,1957-05-09
Iwamizawa,False,1957,1957-05-08
Obihiro,True,1957,1957-05-09
Kushiro,True,1957,
Nemuro,False,1957,
Muroran,True,1957,1957-05-08
Urakawa,False,1957,1957-05-14
Esashi,False,1957,1957-05-04
Hakodate,True,1957,1957-05-08
Kutchan,False,1957,1957-05-15
Monbetsu,False,1957,1957-05-11
Hiroo,False,1957,
Shinjo,False,1957,
Aomori,True,1957,1957-05-01
Hachinohe,False,1957,1957-04-27
Akita,True,1957,1957-04-24
Morioka,True,1957,1957-04-27
Miyako,False,1957,1957-04-20
Sakata,False,1957,1957-04-17
Yamagata,True,1957,1957-04-20
Sendai,True,1957,1957-04-16
Fukushima,True,1957,1957-04-15
Shirakawa,False,1957,1957-04-16
Onahama,False,1957,1957-04-11
Wajima,False,1957,1957-04-15
Aikawa,False,1957,1957-04-16
Niigata,True,1957,1957-04-18
Kanazawa,True,1957,1957-04-08
Toyama,True,1957,1957-04-16
Nagano,True,1957,1957-04-17
Takada,False,1957,1957-04-16
Utsunomiya,True,1957,1957-04-09
Fukui,True,1957,1957-04-11
Takayama,False,1957,1957-04-21
Matsumoto,False,1957,1957-04-17
Maebashi,True,1957,1957-04-06
Kumagaya,True,1957,1957-04-07
Mito,True,1957,1957-04-08
Tsuruga,False,1957,1957-04-11
Gifu,True,1957,1957-04-08
Nagoya,True,1957,1957-04-08
Iida,False,1957,1957-04-12
Kofu,True,1957,1957-04-07
Choshi,True,1957,1957-04-05
Tsu,True,1957,1957-04-08
Hamamatsu,False,1957,1957-04-07
Shizuoka,True,1957,1957-04-01
Tokyo Japan,True,1957,1957-04-02
Owashi,False,1957,1957-04-05
Yokohama,True,1957,1957-04-03
Tateyama,False,1957,
Oshima,False,1957,1957-03-26
Miyakejima,False,1957,
Hachijojima,False,1957,1957-04-02
Saigo,False,1957,1957-04-09
Matsue,True,1957,1957-04-10
Yonago,False,1957,1957-04-10
Tottori,True,1957,1957-04-10
Toyooka,False,1957,1957-04-08
Maizuru,False,1957,1957-04-11
Hamada,False,1957,1957-04-05
Kyoto,True,1957,1957-04-07
Hikone,True,1957,1957-04-10
Hiroshima,True,1957,1957-04-05
Okayama,True,1957,1957-04-06
Kobe,True,1957,1957-04-08
Osaka,True,1957,1957-04-07
Sumoto,False,1957,1957-04-06
Wakayama,True,1957,1957-04-04
Shio Misaki,False,1957,
Nara,True,1957,1957-04-07
Matsuyama,True,1957,1957-04-06
Takamatsu,True,1957,1957-04-03
Uwajima,False,1957,
Kochi,True,1957,1957-04-02
Tokushima,True,1957,1957-04-05
Shimonoseki,True,1957,1957-04-06
Mikihara,False,1957,1957-04-05
Fukuoka,True,1957,1957-04-01
Saga,True,1957,1957-03-31
Oita,True,1957,1957-04-06
Fukue,False,1957,1957-04-04
Nagasaki,True,1957,1957-03-30
Kumamoto,True,1957,1957-03-29
Nobeoka,False,1957,
Kagoshima,True,1957,1957-04-01
Miyazaki,True,1957,
Yakushima,False,1957,
Tanegashima,False,1957,
Naze,True,1957,1957-01-14
Yonaguni Island,False,1957,
Ishigaki Island,True,1957,1957-01-18
Miyakojima,True,1957,
Kumejima,False,1957,
Naha,True,1957,
Nago,False,1957,
Iriomote Island,False,1957,1957-01-16
Minami Daito Island,True,1957,
Wakkanai,True,1958,1958-05-23
Rumoi,False,1958,1958-05-12
Asahikawa,True,1958,1958-05-10
Abashiri,True,1958,
Sapporo,True,1958,
Iwamizawa,False,1958,1958-05-10
Obihiro,True,1958,1958-05-13
Kushiro,True,1958,
Nemuro,False,1958,
Muroran,True,1958,1958-05-12
Urakawa,False,1958,1958-05-12
Esashi,False,1958,1958-05-05
Hakodate,True,1958,1958-05-04
Kutchan,False,1958,1958-05-16
Monbetsu,False,1958,1958-05-19
Hiroo,False,1958,1958-05-09
Shinjo,False,1958,1958-04-23
Aomori,True,1958,1958-04-29
Hachinohe,False,1958,1958-04-24
Akita,True,1958,1958-04-22
Morioka,True,1958,1958-04-24
Miyako,False,1958,1958-04-19
Sakata,False,1958,1958-04-13
Yamagata,True,1958,1958-04-17
Sendai,True,1958,1958-04-10
Fukushima,True,1958,1958-04-07
Shirakawa,False,1958,1958-04-10
Onahama,False,1958,1958-04-07
Wajima,False,1958,1958-04-07
Aikawa,False,1958,1958-04-08
Niigata,True,1958,1958-04-13
Kanazawa,True,1958,1958-04-01
Toyama,True,1958,1958-04-05
Nagano,True,1958,1958-04-09
Takada,False,1958,1958-04-06
Utsunomiya,True,1958,1958-04-06
Fukui,True,1958,1958-04-03
Takayama,False,1958,1958-04-14
Matsumoto,False,1958,1958-04-08
Maebashi,True,1958,1958-04-01
Kumagaya,True,1958,1958-04-01
Mito,True,1958,1958-04-04
Tsuruga,False,1958,1958-04-05
Gifu,True,1958,1958-03-28
Nagoya,True,1958,1958-03-25
Iida,False,1958,1958-04-05
Kofu,True,1958,1958-04-01
Choshi,True,1958,1958-04-01
Tsu,True,1958,1958-04-06
Hamamatsu,False,1958,1958-04-02
Shizuoka,True,1958,1958-03-25
Tokyo Japan,True,1958,1958-03-30
Owashi,False,1958,1958-03-28
Yokohama,True,1958,1958-03-25
Tateyama,False,1958,
Oshima,False,1958,
Miyakejima,False,1958,
Hachijojima,False,1958,1958-04-04
Saigo,False,1958,1958-04-01
Matsue,True,1958,1958-04-05
Yonago,False,1958,1958-04-04
Tottori,True,1958,1958-04-04
Toyooka,False,1958,1958-04-05
Maizuru,False,1958,1958-04-04
Hamada,False,1958,1958-03-25
Kyoto,True,1958,1958-04-02
Hikone,True,1958,1958-04-05
Hiroshima,True,1958,1958-03-26
Okayama,True,1958,1958-04-01
Kobe,True,1958,1958-04-02
Osaka,True,1958,1958-03-27
Sumoto,False,1958,1958-03-28
Wakayama,True,1958,1958-03-24
Shio Misaki,False,1958,1958-03-27
Nara,True,1958,1958-04-02
Matsuyama,True,1958,1958-04-01
Takamatsu,True,1958,1958-04-01
Uwajima,False,1958,
Kochi,True,1958,1958-03-24
Tokushima,True,1958,1958-03-28
Shimonoseki,True,1958,1958-03-25
Mikihara,False,1958,1958-03-24
Fukuoka,True,1958,1958-03-25
Saga,True,1958,1958-03-24
Oita,True,1958,1958-03-27
Fukue,False,1958,1958-03-31
Nagasaki,True,1958,1958-03-22
Kumamoto,True,1958,1958-03-24
Nobeoka,False,1958,
Kagoshima,True,1958,1958-03-26
Miyazaki,True,1958,
Yakushima,False,1958,
Tanegashima,False,1958,1958-03-29
Naze,True,1958,
Yonaguni Island,False,1958,
Ishigaki Island,True,1958,1958-01-10
Miyakojima,True,1958,
Kumejima,False,1958,
Naha,True,1958,
Nago,False,1958,
Iriomote Island,False,1958,
Minami Daito Island,True,1958,
Wakkanai,True,1959,1959-05-03
Rumoi,False,1959,
Asahikawa,True,1959,1959-05-08
Abashiri,True,1959,1959-05-03
Sapporo,True,1959,1959-05-05
Iwamizawa,False,1959,1959-04-28
Obihiro,True,1959,1959-05-01
Kushiro,True,1959,
Nemuro,False,1959,
Muroran,True,1959,1959-04-27
Urakawa,False,1959,1959-05-02
Esashi,False,1959,1959-04-27
Hakodate,True,1959,1959-04-26
Kutchan,False,1959,1959-05-02
Monbetsu,False,1959,1959-05-01
Hiroo,False,1959,1959-04-29
Shinjo,False,1959,1959-04-15
Aomori,True,1959,1959-04-19
Hachinohe,False,1959,1959-04-21
Akita,True,1959,1959-04-09
Morioka,True,1959,1959-04-18
Miyako,False,1959,1959-04-14
Sakata,False,1959,1959-04-07
Yamagata,True,1959,1959-04-09
Sendai,True,1959,1959-04-04
Fukushima,True,1959,1959-04-03
Shirakawa,False,1959,1959-04-08
Onahama,False,1959,1959-03-30
Wajima,False,1959,1959-04-01
Aikawa,False,1959,1959-04-03
Niigata,True,1959,1959-04-05
Kanazawa,True,1959,1959-03-27
Toyama,True,1959,1959-03-31
Nagano,True,1959,1959-04-05
Takada,False,1959,1959-04-03
Utsunomiya,True,1959,1959-03-31
Fukui,True,1959,1959-03-30
Takayama,False,1959,1959-04-08
Matsumoto,False,1959,1959-04-05
Maebashi,True,1959,1959-03-24
Kumagaya,True,1959,1959-03-26
Mito,True,1959,1959-03-30
Tsuruga,False,1959,1959-03-28
Gifu,True,1959,1959-03-22
Nagoya,True,1959,1959-03-23
Iida,False,1959,1959-03-27
Kofu,True,1959,1959-03-24
Choshi,True,1959,1959-03-23
Tsu,True,1959,1959-03-23
Hamamatsu,False,1959,1959-03-28
Shizuoka,True,1959,1959-03-20
Tokyo Japan,True,1959,1959-03-24
Owashi,False,1959,1959-03-18
Yokohama,True,1959,1959-03-20
Tateyama,False,1959,
Oshima,False,1959,1959-03-21
Miyakejima,False,1959,
Hachijojima,False,1959,1959-04-01
Saigo,False,1959,1959-03-25
Matsue,True,1959,1959-03-27
Yonago,False,1959,1959-03-26
Tottori,True,1959,1959-03-28
Toyooka,False,1959,1959-03-25
Maizuru,False,1959,1959-03-27
Hamada,False,1959,1959-03-23
Kyoto,True,1959,1959-03-23
Hikone,True,1959,1959-03-29
Hiroshima,True,1959,1959-03-21
Okayama,True,1959,1959-03-23
Kobe,True,1959,1959-03-27
Osaka,True,1959,1959-03-25
Sumoto,False,1959,1959-03-23
Wakayama,True,1959,1959-03-19
Shio Misaki,False,1959,1959-03-10
Nara,True,1959,1959-03-24
Matsuyama,True,1959,1959-03-23
Takamatsu,True,1959,1959-03-26
Uwajima,False,1959,
Kochi,True,1959,1959-03-21
Tokushima,True,1959,1959-03-26
Shimonoseki,True,1959,1959-03-23
Mikihara,False,1959,1959-03-22
Fukuoka,True,1959,1959-03-25
Saga,True,1959,1959-03-22
Oita,True,1959,1959-03-28
Fukue,False,1959,1959-03-20
Nagasaki,True,1959,1959-03-22
Kumamoto,True,1959,1959-03-19
Nobeoka,False,1959,
Kagoshima,True,1959,1959-03-23
Miyazaki,True,1959,
Yakushima,False,1959,
Tanegashima,False,1959,1959-04-03
Naze,True,1959,1959-01-28
Yonaguni Island,False,1959,
Ishigaki Island,True,1959,
Miyakojima,True,1959,
Kumejima,False,1959,
Naha,True,1959,
Nago,False,1959,
Iriomote Island,False,1959,1959-01-12
Minami Daito Island,True,1959,
Wakkanai,True,1960,1960-05-19
Rumoi,False,1960,
Asahikawa,True,1960,1960-05-13
Abashiri,True,1960,
Sapporo,True,1960,1960-05-05
Iwamizawa,False,1960,1960-05-11
Obihiro,True,1960,1960-05-11
Kushiro,True,1960,
Nemuro,False,1960,1960-05-25
Muroran,True,1960,1960-05-08
Urakawa,False,1960,1960-05-13
Esashi,False,1960,1960-05-02
Hakodate,True,1960,1960-05-04
Kutchan,False,1960,1960-05-17
Monbetsu,False,1960,1960-05-15
Hiroo,False,1960,1960-05-09
Shinjo,False,1960,1960-04-23
Aomori,True,1960,1960-04-27
Hachinohe,False,1960,1960-04-27
Akita,True,1960,1960-04-21
Morioka,True,1960,1960-04-27
Miyako,False,1960,1960-04-20
Sakata,False,1960,1960-04-14
Yamagata,True,1960,1960-04-17
Sendai,True,1960,1960-04-12
Fukushima,True,1960,1960-04-08
Shirakawa,False,1960,1960-04-11
Onahama,False,1960,1960-04-05
Wajima,False,1960,1960-04-06
Aikawa,False,1960,1960-04-06
Niigata,True,1960,1960-04-11
Kanazawa,True,1960,1960-03-29
Toyama,True,1960,1960-04-05
Nagano,True,1960,1960-04-13
Takada,False,1960,1960-04-05
Utsunomiya,True,1960,1960-04-01
Fukui,True,1960,1960-04-01
Takayama,False,1960,1960-04-12
Matsumoto,False,1960,1960-04-08
Maebashi,True,1960,1960-03-27
Kumagaya,True,1960,1960-03-28
Mito,True,1960,1960-04-04
Tsuruga,False,1960,1960-03-30
Gifu,True,1960,1960-03-23
Nagoya,True,1960,1960-03-22
Iida,False,1960,1960-03-30
Kofu,True,1960,1960-03-25
Choshi,True,1960,1960-03-26
Tsu,True,1960,1960-03-28
Hamamatsu,False,1960,1960-03-29
Shizuoka,True,1960,1960-03-24
Tokyo Japan,True,1960,1960-03-23
Owashi,False,1960,1960-03-28
Yokohama,True,1960,1960-03-21
Tateyama,False,1960,
Oshima,False,1960,
Miyakejima,False,1960,
Hachijojima,False,1960,1960-04-03
Saigo,False,1960,1960-03-28
Matsue,True,1960,1960-03-29
Yonago,False,1960,1960-03-29
Tottori,True,1960,1960-03-30
Toyooka,False,1960,1960-03-29
Maizuru,False,1960,1960-03-30
Hamada,False,1960,1960-03-26
Kyoto,True,1960,1960-03-29
Hikone,True,1960,1960-03-31
Hiroshima,True,1960,1960-03-23
Okayama,True,1960,1960-03-28
Kobe,True,1960,1960-03-28
Osaka,True,1960,1960-03-28
Sumoto,False,1960,1960-03-24
Wakayama,True,1960,1960-03-21
Shio Misaki,False,1960,1960-03-18
Nara,True,1960,1960-03-29
Matsuyama,True,1960,1960-03-24
Takamatsu,True,1960,1960-03-29
Uwajima,False,1960,
Kochi,True,1960,1960-03-23
Tokushima,True,1960,1960-03-28
Shimonoseki,True,1960,1960-03-29
Mikihara,False,1960,1960-03-25
Fukuoka,True,1960,1960-03-24
Saga,True,1960,1960-03-25
Oita,True,1960,1960-03-29
Fukue,False,1960,1960-03-26
Nagasaki,True,1960,1960-03-22
Kumamoto,True,1960,1960-03-22
Nobeoka,False,1960,
Kagoshima,True,1960,1960-03-26
Miyazaki,True,1960,
Yakushima,False,1960,
Tanegashima,False,1960,1960-03-30
Naze,True,1960,1960-01-23
Yonaguni Island,False,1960,
Ishigaki Island,True,1960,
Miyakojima,True,1960,
Kumejima,False,1960,
Naha,True,1960,
Nago,False,1960,
Iriomote Island,False,1960,1960-02-08
Minami Daito Island,True,1960,
Wakkanai,True,1961,1961-05-11
Rumoi,False,1961,1961-05-07
Asahikawa,True,1961,1961-05-08
Abashiri,True,1961,1961-05-08
Sapporo,True,1961,1961-05-04
Iwamizawa,False,1961,1961-05-04
Obihiro,True,1961,1961-05-05
Kushiro,True,1961,
Nemuro,False,1961,1961-05-18
Muroran,True,1961,1961-05-05
Urakawa,False,1961,1961-05-04
Esashi,False,1961,1961-04-28
